@relation 'jAudio_clustered-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-R554-662-weka.filters.unsupervised.attribute.Remove-R51-232-weka.filters.unsupervised.attribute.Remove-R101-282-weka.filters.unsupervised.attribute.Remove-R190-191_clustered'

@attribute Instance_number numeric
@attribute 'Beat Histogram Overall Average7' numeric
@attribute 'Beat Histogram Overall Average6' numeric
@attribute 'Beat Histogram Overall Average26' numeric
@attribute 'Beat Histogram Overall Average25' numeric
@attribute 'Beat Histogram Overall Average54' numeric
@attribute 'Beat Histogram Overall Average23' numeric
@attribute 'Beat Histogram Overall Average2' numeric
@attribute 'Beat Histogram Overall Average28' numeric
@attribute 'Beat Histogram Overall Average0' numeric
@attribute 'Beat Histogram Overall Average12' numeric
@attribute 'Beat Histogram Overall Average10' numeric
@attribute 'Beat Histogram Overall Average29' numeric
@attribute 'Beat Histogram Overall Average13' numeric
@attribute 'Beat Histogram Overall Average8' numeric
@attribute 'Beat Histogram Overall Average39' numeric
@attribute 'Beat Histogram Overall Average16' numeric
@attribute 'Beat Histogram Overall Average18' numeric
@attribute 'Beat Histogram Overall Average1' numeric
@attribute 'Beat Histogram Overall Average11' numeric
@attribute 'Beat Histogram Overall Average27' numeric
@attribute 'Beat Histogram Overall Average19' numeric
@attribute 'Beat Histogram Overall Average17' numeric
@attribute 'Beat Histogram Overall Average158' numeric
@attribute 'Beat Histogram Overall Average66' numeric
@attribute 'Beat Histogram Overall Average9' numeric
@attribute 'Beat Histogram Overall Average159' numeric
@attribute 'Beat Histogram Overall Average72' numeric
@attribute 'Beat Histogram Overall Average4' numeric
@attribute 'Beat Histogram Overall Average44' numeric
@attribute 'Beat Histogram Overall Average30' numeric
@attribute 'Beat Histogram Overall Average38' numeric
@attribute 'Beat Histogram Overall Average65' numeric
@attribute 'Beat Histogram Overall Average36' numeric
@attribute 'Beat Histogram Overall Average67' numeric
@attribute 'Beat Histogram Overall Average15' numeric
@attribute 'Beat Histogram Overall Average93' numeric
@attribute 'Beat Histogram Overall Average64' numeric
@attribute 'Beat Histogram Overall Average46' numeric
@attribute 'Beat Histogram Overall Average20' numeric
@attribute 'Beat Histogram Overall Average160' numeric
@attribute 'Beat Histogram Overall Average85' numeric
@attribute 'Beat Histogram Overall Average168' numeric
@attribute 'Beat Histogram Overall Average83' numeric
@attribute 'Beat Histogram Overall Average5' numeric
@attribute 'Beat Histogram Overall Average43' numeric
@attribute 'Beat Histogram Overall Average169' numeric
@attribute 'Beat Histogram Overall Average73' numeric
@attribute 'Beat Histogram Overall Average63' numeric
@attribute 'Beat Histogram Overall Average48' numeric
@attribute 'Beat Histogram Overall Average45' numeric
@attribute 'Beat Histogram Overall Standard Deviation231' numeric
@attribute 'Beat Histogram Overall Standard Deviation227' numeric
@attribute 'Beat Histogram Overall Standard Deviation226' numeric
@attribute 'Beat Histogram Overall Standard Deviation228' numeric
@attribute 'Beat Histogram Overall Standard Deviation230' numeric
@attribute 'Beat Histogram Overall Standard Deviation229' numeric
@attribute 'Beat Histogram Overall Standard Deviation225' numeric
@attribute 'Beat Histogram Overall Standard Deviation207' numeric
@attribute 'Beat Histogram Overall Standard Deviation217' numeric
@attribute 'Beat Histogram Overall Standard Deviation220' numeric
@attribute 'Beat Histogram Overall Standard Deviation222' numeric
@attribute 'Beat Histogram Overall Standard Deviation221' numeric
@attribute 'Beat Histogram Overall Standard Deviation219' numeric
@attribute 'Beat Histogram Overall Standard Deviation224' numeric
@attribute 'Beat Histogram Overall Standard Deviation206' numeric
@attribute 'Beat Histogram Overall Standard Deviation213' numeric
@attribute 'Beat Histogram Overall Standard Deviation223' numeric
@attribute 'Beat Histogram Overall Standard Deviation218' numeric
@attribute 'Beat Histogram Overall Standard Deviation214' numeric
@attribute 'Beat Histogram Overall Standard Deviation215' numeric
@attribute 'Beat Histogram Overall Standard Deviation209' numeric
@attribute 'Beat Histogram Overall Standard Deviation202' numeric
@attribute 'Beat Histogram Overall Standard Deviation205' numeric
@attribute 'Beat Histogram Overall Standard Deviation204' numeric
@attribute 'Beat Histogram Overall Standard Deviation212' numeric
@attribute 'Beat Histogram Overall Standard Deviation216' numeric
@attribute 'Beat Histogram Overall Standard Deviation210' numeric
@attribute 'Beat Histogram Overall Standard Deviation203' numeric
@attribute 'Beat Histogram Overall Standard Deviation187' numeric
@attribute 'Beat Histogram Overall Standard Deviation211' numeric
@attribute 'Beat Histogram Overall Standard Deviation186' numeric
@attribute 'Beat Histogram Overall Standard Deviation199' numeric
@attribute 'Beat Histogram Overall Standard Deviation208' numeric
@attribute 'Beat Histogram Overall Standard Deviation200' numeric
@attribute 'Beat Histogram Overall Standard Deviation201' numeric
@attribute 'Beat Histogram Overall Standard Deviation189' numeric
@attribute 'Beat Histogram Overall Standard Deviation188' numeric
@attribute 'Beat Histogram Overall Standard Deviation190' numeric
@attribute 'Beat Histogram Overall Standard Deviation198' numeric
@attribute 'Beat Histogram Overall Standard Deviation185' numeric
@attribute 'Beat Histogram Overall Standard Deviation196' numeric
@attribute 'Beat Histogram Overall Standard Deviation197' numeric
@attribute 'Beat Histogram Overall Standard Deviation184' numeric
@attribute 'Beat Histogram Overall Standard Deviation194' numeric
@attribute 'Beat Histogram Overall Standard Deviation183' numeric
@attribute 'Beat Histogram Overall Standard Deviation193' numeric
@attribute 'Beat Histogram Overall Standard Deviation192' numeric
@attribute 'Beat Histogram Overall Standard Deviation195' numeric
@attribute 'Beat Histogram Overall Standard Deviation175' numeric
@attribute 'Beat Histogram Overall Standard Deviation191' numeric
@attribute 'Standard Deviation of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Running Mean of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Spectral Flux Overall Average0' numeric
@attribute 'Standard Deviation of Spectral Flux Overall Average0' numeric
@attribute 'Running Mean of Spectral Flux Overall Average0' numeric
@attribute 'Standard Deviation of MFCC Overall Average0' numeric
@attribute 'Running Mean of MFCC Overall Average0' numeric
@attribute 'MFCC Overall Average0' numeric
@attribute 'Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Standard Deviation of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Running Mean of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Spectral Flux Overall Standard Deviation0' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation9' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation8' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation12' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation11' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation10' numeric
@attribute 'MFCC Overall Standard Deviation9' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation4' numeric
@attribute 'Derivative of Standard Deviation of Spectral Flux Overall Average0' numeric
@attribute 'MFCC Overall Standard Deviation12' numeric
@attribute 'MFCC Overall Standard Deviation10' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation6' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation7' numeric
@attribute 'MFCC Overall Standard Deviation11' numeric
@attribute 'Running Mean of MFCC Overall Average6' numeric
@attribute 'MFCC Overall Standard Deviation6' numeric
@attribute 'MFCC Overall Average6' numeric
@attribute 'MFCC Overall Standard Deviation7' numeric
@attribute 'MFCC Overall Standard Deviation8' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation5' numeric
@attribute 'Running Mean of Compactness Overall Average0' numeric
@attribute 'Standard Deviation of Compactness Overall Average0' numeric
@attribute 'Compactness Overall Average0' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation1' numeric
@attribute 'MFCC Overall Standard Deviation4' numeric
@attribute 'MFCC Overall Standard Deviation5' numeric
@attribute 'MFCC Overall Average3' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation2' numeric
@attribute 'Derivative of Running Mean of Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Derivative of Standard Deviation of Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Running Mean of MFCC Overall Average3' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation11' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation10' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation12' numeric
@attribute 'MFCC Overall Average1' numeric
@attribute 'Running Mean of MFCC Overall Average1' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation9' numeric
@attribute 'Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation1' numeric
@attribute 'MFCC Overall Standard Deviation1' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation3' numeric
@attribute 'Derivative of Running Mean of Spectral Flux Overall Average0' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation8' numeric
@attribute 'MFCC Overall Standard Deviation2' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation2' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation6' numeric
@attribute 'Running Mean of MFCC Overall Average8' numeric
@attribute 'Running Mean of MFCC Overall Average2' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation0' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation4' numeric
@attribute 'MFCC Overall Average8' numeric
@attribute 'Derivative of Running Mean of MFCC Overall Standard Deviation0' numeric
@attribute 'MFCC Overall Average2' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation12' numeric
@attribute 'Derivative of Zero Crossings Overall Standard Deviation0' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation10' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation6' numeric
@attribute 'Running Mean of MFCC Overall Standard Deviation7' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation9' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation8' numeric
@attribute 'Derivative of MFCC Overall Standard Deviation7' numeric
@attribute 'Derivative of MFCC Overall Average12' numeric
@attribute 'Derivative of Spectral Flux Overall Average0' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Average3' numeric
@attribute 'Standard Deviation of MFCC Overall Average9' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation9' numeric
@attribute 'Standard Deviation of MFCC Overall Average10' numeric
@attribute 'Standard Deviation of MFCC Overall Standard Deviation10' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation10' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation4' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Average12' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation12' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Standard Deviation7' numeric
@attribute 'Derivative of Standard Deviation of MFCC Overall Average7' numeric
@attribute 'Standard Deviation of MFCC Overall Average12' numeric
@attribute 'Standard Deviation of MFCC Overall Standard Deviation12' numeric
@attribute 'Standard Deviation of MFCC Overall Average7' numeric
@attribute 'Standard Deviation of MFCC Overall Standard Deviation7' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
117,5.158,5.19,4.748,4.761,4.072,4.806,5.298,4.774,5.335,5.255,5.277,4.797,5.175,5.175,4.388,5.014,4.895,5.298,5.276,4.755,4.846,4.957,1.719,3.889,5.239,1.69,3.633,5.261,4.341,4.803,4.417,3.873,4.493,3.896,5.041,3.171,3.876,4.315,4.812,1.656,3.469,1.441,3.469,5.228,4.357,1.418,3.62,3.895,4.341,4.329,0.01461,0.04828,0.05483,0.04175,0.02595,0.03469,0.06116,0.1744,0.1113,0.09442,0.08074,0.08745,0.1011,0.06763,0.1824,0.1344,0.07402,0.1069,0.1281,0.122,0.1586,0.2063,0.1886,0.1933,0.1406,0.1165,0.1515,0.1995,0.2929,0.1457,0.2994,0.2226,0.1664,0.2184,0.2134,0.2766,0.2863,0.268,0.2252,0.3027,0.2349,0.2293,0.3074,0.2433,0.3113,0.2488,0.2554,0.2387,0.3388,0.2608,0.005821,0.000583,0.002488,0.02489,0.002514,1021,-102.1,-104,0.00354,0.000499,0.000051,0.003936,0.02435,0.02545,0.02037,0.02278,0.02419,1.781,0.03677,-0.000003,1.494,1.78,0.02799,0.02602,1.634,0.5711,2.248,0.5579,1.903,1.834,0.03491,1589,15890,1588,0.05788,3.154,2.499,1.261,0.05679,0.5327,5.31,1.303,0.5139,0.6571,0.5358,3.769,3.865,0.665,38.79,2.953,4.989,0.04112,0,0.6346,4.322,2.87,1.869,-0.4283,3.977,3.207,2.21,-0.4229,0.3215,3.941,1.449,25.45,1.634,1.248,0.5975,1.639,1.686,1.742,-0.000171,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
118,5.707,5.754,5.205,5.242,4.493,5.402,5.864,5.166,6.047,5.608,5.676,5.139,5.575,5.686,4.947,5.516,5.479,5.94,5.645,5.189,5.48,5.496,1.879,4.259,5.679,1.856,4.042,5.807,4.851,5.112,4.962,4.262,4.989,4.25,5.532,3.527,4.282,4.78,5.486,1.832,3.744,1.618,3.797,5.794,4.861,1.593,4.02,4.32,4.658,4.83,0.01423,0.05455,0.06285,0.04568,0.02576,0.03608,0.07119,0.213,0.1337,0.1108,0.09542,0.1032,0.1187,0.07954,0.2213,0.163,0.08754,0.1261,0.1557,0.1482,0.1949,0.2515,0.2294,0.2371,0.17,0.1411,0.1857,0.2442,0.3723,0.1773,0.3826,0.2746,0.2047,0.2663,0.2591,0.3499,0.3614,0.3411,0.2828,0.3925,0.2982,0.2909,0.4005,0.314,0.4083,0.3211,0.3279,0.306,0.461,0.3342,0.006645,0.000667,0.002071,0.02068,0.002094,1042,-104.2,-105.6,0.00339,0.000477,0.000049,0.003631,0.02198,0.02107,0.02008,0.02063,0.02196,1.605,0.04114,0,1.45,1.631,0.02659,0.02759,1.568,-0.01386,1.957,-0.02084,1.96,1.531,0.03428,1658,16580,1658,0.05954,3.036,2.331,1.906,0.07216,0.5788,5.77,1.891,0.6948,0.6716,0.507,5.066,5.032,0.629,42.88,2.795,4.779,0.04647,0,0.4656,5.567,3.077,1.763,-0.2779,4.808,2.139,2.22,-0.2912,0.2141,4.799,1.286,25.19,1.401,0.8168,0.7376,1.404,1.476,1.703,0.000053,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster0
119,0.1594,0.1603,0.1456,0.1463,0.1257,0.1474,0.1627,0.144,0.1641,0.1554,0.1568,0.1431,0.1548,0.1585,0.1356,0.1534,0.1514,0.1634,0.156,0.1449,0.1505,0.1524,0.05175,0.1168,0.1576,0.05105,0.1122,0.1616,0.1324,0.1423,0.1363,0.1176,0.1379,0.116,0.154,0.09774,0.1182,0.1311,0.1496,0.05036,0.1032,0.04481,0.1045,0.161,0.1329,0.04412,0.1115,0.1189,0.1296,0.1318,0.000316,0.00141,0.001673,0.001145,0.0006,0.000876,0.001931,0.006307,0.003961,0.00321,0.002701,0.002957,0.003461,0.002188,0.006537,0.004932,0.002445,0.003711,0.004689,0.004447,0.005857,0.007447,0.006766,0.006991,0.005165,0.004207,0.005627,0.00722,0.01083,0.005398,0.01107,0.008122,0.006083,0.007899,0.007675,0.01037,0.01061,0.01015,0.008347,0.0113,0.008797,0.008571,0.01153,0.009256,0.01177,0.009472,0.009697,0.009031,0.01362,0.009927,0.000182,0.000018,0.000045,0.000445,0.000045,1396,-139.6,-140.7,0.000087,0.000008,0.000001,0.000086,0.02216,0.02507,0.02352,0.0237,0.02276,1.639,0.03757,0,1.695,1.585,0.03082,0.02721,1.68,-1.307,2.261,-1.309,1.921,1.805,0.03137,1650,16500,1649,0.0521,2.625,2.159,-0.02829,0.04366,0.4447,4.437,-0.003179,0.8117,0.5715,0.7831,3.512,3.616,0.7529,41.36,2.145,4.737,0.0359,0,0.8192,3.452,1.955,1.627,-1.544,3.02,2.037,1.778,-1.53,0.2038,3.058,1.358,17.57,1.447,1.237,0.8455,1.458,1.536,1.588,0.000365,-0.000001,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
120,4.635,4.675,4.246,4.266,3.609,4.347,4.797,4.2,4.844,4.533,4.545,4.169,4.523,4.596,3.992,4.46,4.458,4.816,4.539,4.225,4.494,4.446,1.494,3.495,4.562,1.472,3.272,4.743,3.889,4.131,4.014,3.547,4.044,3.427,4.483,2.846,3.551,3.841,4.525,1.45,3.017,1.282,3.061,4.711,3.916,1.267,3.244,3.527,3.794,3.862,0.00918,0.04444,0.0526,0.03589,0.01805,0.02701,0.06044,0.1762,0.1139,0.09636,0.0828,0.0899,0.1024,0.06806,0.1837,0.1383,0.07545,0.1081,0.1322,0.1257,0.1616,0.2109,0.1908,0.1976,0.144,0.1197,0.155,0.2041,0.2994,0.1494,0.306,0.2389,0.1686,0.229,0.2192,0.2886,0.2936,0.283,0.246,0.3135,0.252,0.2496,0.3209,0.2596,0.3284,0.2655,0.2713,0.255,0.3823,0.2772,0.002248,0.000228,0.000794,0.007946,0.0008,1405,-140.6,-141.8,0.001036,0.000139,0.000014,0.001207,0.02421,0.02496,0.0215,0.02319,0.02368,1.772,0.03982,0,1.552,1.681,0.02894,0.02604,1.661,1.591,2.238,1.563,1.938,1.796,0.03003,1604,16040,1604,0.0829,2.948,2.193,2.474,0.0663,0.2773,2.761,2.527,0.6043,0.553,0.5077,3.089,3.204,0.5747,21.81,4.077,7.177,0.04479,0,0.5312,5.022,3.457,1.968,0.7864,3.667,5.055,2.348,0.7811,0.5057,3.682,1.581,19.14,1.719,1.12,0.7494,1.777,1.872,1.932,0.000041,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
121,4.952,4.993,4.548,4.569,3.875,4.655,5.121,4.497,5.17,4.847,4.855,4.462,4.837,4.909,4.283,4.771,4.771,5.142,4.85,4.525,4.812,4.756,1.623,3.761,4.873,1.599,3.523,5.064,4.177,4.422,4.306,3.816,4.334,3.688,4.797,3.07,3.818,4.126,4.846,1.575,3.253,1.393,3.297,5.03,4.206,1.376,3.493,3.79,4.077,4.148,0.007298,0.03458,0.0404,0.02817,0.01423,0.02127,0.04583,0.1054,0.0747,0.06754,0.06036,0.06433,0.07021,0.05095,0.1094,0.08614,0.05578,0.07252,0.08289,0.07957,0.09741,0.1228,0.1131,0.1164,0.08887,0.07692,0.09413,0.1196,0.1668,0.09143,0.17,0.1388,0.1013,0.133,0.1273,0.1606,0.1637,0.1575,0.1424,0.1731,0.143,0.143,0.1764,0.1457,0.1799,0.1487,0.1516,0.1436,0.2035,0.1546,0.001296,0.000131,0.000806,0.008067,0.000812,1306,-130.6,-132,0.000932,0.000124,0.000013,0.001144,0.0245,0.02544,0.02182,0.02357,0.02401,1.788,0.04054,0,1.563,1.685,0.02871,0.02621,1.696,1.797,2.08,1.765,1.9,1.817,0.03035,1612,16120,1612,0.07409,2.997,2.193,2.924,0.0673,0.2501,2.489,2.982,0.6289,0.4983,0.499,3.899,4.022,0.5562,20.05,3.913,5.831,0.04268,0,0.5122,5.072,3.431,1.961,0.818,3.493,2.816,2.352,0.8122,0.2818,3.508,1.582,16.8,1.721,0.7233,0.5587,1.783,1.873,1.936,0.000097,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
122,2.21,2.229,2.005,2.013,1.726,2.045,2.321,2.007,2.292,2.202,2.197,2.014,2.172,2.2,1.9,2.106,2.096,2.3,2.207,2.003,2.101,2.098,0.7081,1.628,2.194,0.6981,1.547,2.284,1.821,2.004,1.911,1.641,1.908,1.607,2.121,1.368,1.641,1.826,2.106,0.6896,1.433,0.6103,1.465,2.253,1.828,0.6012,1.548,1.639,1.816,1.819,0.006855,0.03093,0.03652,0.02501,0.01302,0.01898,0.04173,0.1323,0.08181,0.06577,0.05572,0.06058,0.07118,0.0465,0.1356,0.09986,0.05102,0.07655,0.09528,0.09111,0.1222,0.1534,0.1393,0.1433,0.105,0.08679,0.1164,0.1481,0.2254,0.1104,0.229,0.1706,0.1276,0.1648,0.159,0.2199,0.2226,0.2156,0.1753,0.2335,0.1826,0.1791,0.2389,0.1919,0.245,0.1976,0.2036,0.187,0.2816,0.2097,0.004311,0.000434,0.000598,0.005967,0.000604,1193,-119.3,-120.6,0.001147,0.00015,0.000015,0.001163,0.02758,0.02776,0.02548,0.02822,0.02691,1.957,0.0356,0,1.834,1.934,0.02982,0.03168,2.104,0.02541,2.241,0.01807,2.298,1.997,0.0344,1703,17030,1701,0.05374,2.643,2.581,1.993,0.05332,0.4639,4.611,2.03,1.281,1.019,1.011,8.275,8.412,1.018,40.37,2.427,4.744,0.04053,0,1.116,4.09,2.293,1.641,0.03033,2.747,2.074,1.825,0.02944,0.2075,2.769,1.392,17.81,1.484,1.216,1.312,1.502,1.528,1.622,0.000277,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
123,6.252,6.222,5.74,5.81,4.873,5.806,6.374,5.613,6.514,5.98,6.104,5.58,5.977,6.282,5.371,6.015,5.921,6.461,6.018,5.664,5.853,5.983,1.974,4.57,6.22,1.945,4.376,6.236,5.146,5.561,5.339,4.612,5.364,4.506,6.011,3.773,4.625,5.076,5.804,1.922,3.981,1.711,4.082,6.214,5.222,1.698,4.379,4.621,5.074,5.099,0.01846,0.08105,0.09537,0.06654,0.03535,0.05139,0.1098,0.3622,0.2258,0.1819,0.1534,0.1678,0.1962,0.1242,0.3751,0.2803,0.1387,0.2109,0.2681,0.2548,0.3333,0.4261,0.3871,0.3988,0.2927,0.2405,0.3193,0.4114,0.6269,0.3057,0.6424,0.4716,0.3481,0.4577,0.4414,0.603,0.6143,0.5918,0.483,0.6613,0.5049,0.4941,0.678,0.5319,0.6913,0.5481,0.5646,0.5178,0.8075,0.5789,0.01335,0.001333,0.002419,0.02426,0.002442,975.4,-97.54,-98.75,0.003028,0.000393,0.00004,0.00302,0.02457,0.02461,0.02197,0.02302,0.02366,1.742,0.03898,0,1.568,1.714,0.02757,0.02664,1.662,0.4382,2.055,0.4359,1.931,1.838,0.03183,1675,16750,1674,0.05547,2.905,2.506,4.756,0.05927,0.4186,4.177,4.784,0.5286,0.622,0.4853,0.8785,0.9068,0.5785,32.34,2.794,4.413,0.04385,0,0.6859,4.518,2.731,1.924,0.6904,0.1759,2.187,2.273,0.6838,0.2189,0.2017,1.547,20.37,1.667,0.8749,0.6681,1.707,1.778,1.866,0.000187,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster0
124,2.942,2.847,2.614,2.706,2.215,2.69,2.862,2.505,2.986,2.718,2.838,2.48,2.694,3.017,2.485,2.78,2.682,2.942,2.759,2.548,2.637,2.749,0.9126,2.056,2.958,0.908,2.075,2.81,2.3,2.48,2.422,2.092,2.389,2.015,2.743,1.699,2.106,2.278,2.614,0.904,1.804,0.8239,1.831,2.809,2.344,0.8129,2.057,2.094,2.324,2.276,0.009478,0.03192,0.03727,0.0265,0.01625,0.02147,0.04207,0.1224,0.08145,0.06608,0.05655,0.0614,0.07127,0.04629,0.1267,0.09619,0.05133,0.07715,0.09264,0.08892,0.1162,0.1489,0.1307,0.135,0.1003,0.0846,0.1116,0.1419,0.2119,0.106,0.2196,0.1589,0.1189,0.1561,0.153,0.2007,0.2043,0.1962,0.1621,0.2248,0.1698,0.1657,0.2275,0.1821,0.2297,0.1879,0.1906,0.1761,0.2607,0.1931,0.005685,0.000571,0.001338,0.01341,0.001353,1181,-118.1,-120.1,0.001995,0.000282,0.000029,0.00223,0.02214,0.02333,0.02017,0.02,0.02355,1.659,0.03583,-0.000001,1.444,1.719,0.02623,0.02532,1.422,1.104,1.885,1.079,1.785,1.661,0.0325,1605,16050,1604,0.05546,2.556,2.475,1.538,0.06284,0.4663,4.648,1.59,0.3923,0.6481,0.5029,4.311,4.479,0.7177,42.88,2.62,4.408,0.04284,0,0.553,4.905,2.742,1.839,0.4712,2.702,2.445,2.116,0.4702,0.2448,2.782,1.456,20.96,1.66,0.7355,0.525,1.635,1.696,1.811,0.000148,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
125,16.83,16.85,15.94,15.64,14.09,15.58,18.45,16.24,17.89,17.07,17.93,15.79,16.52,16.99,14.64,16.21,16.81,18.33,17.76,16.27,16.97,16.45,5.712,12.33,17.45,5.515,12.47,17.44,15.27,15.31,15.01,12.52,15.59,12.26,16.16,10.35,12.85,14.93,16.66,5.352,10.99,4.794,11.06,17.04,14.77,4.663,12.09,13.24,13.9,15.42,0.05108,0.2223,0.2577,0.18,0.09331,0.1356,0.2862,0.8746,0.5583,0.4459,0.3734,0.4081,0.4862,0.3131,0.9038,0.6732,0.3421,0.5263,0.6386,0.6093,0.8175,1.052,0.936,0.9719,0.7095,0.5844,0.7849,1.01,1.523,0.7469,1.56,1.153,0.8475,1.128,1.093,1.467,1.492,1.442,1.176,1.601,1.233,1.201,1.642,1.312,1.672,1.352,1.384,1.27,1.937,1.412,0.02978,0.002995,0.008507,0.08426,0.008557,885.2,-88.52,-89.84,0.01544,0.002245,0.000228,0.01634,0.02592,0.02797,0.02884,0.02983,0.02523,1.869,0.03463,-0.00001,1.978,1.8,0.02709,0.0283,2.042,-0.2782,2.1,-0.2823,2.055,1.952,0.03101,1646,16460,1646,0.06365,2.43,2.263,-0.4178,0.04902,0.4655,4.643,-0.3932,1.098,0.8675,1.109,3.177,3.255,0.8872,37.27,3.194,5.3,0.0467,-0.000001,0.9419,3.643,2.519,1.783,-0.5551,2.657,2.139,2.075,-0.5651,0.2142,2.683,1.466,20.84,1.538,1.097,0.9153,1.601,1.673,1.799,0.000068,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster3
126,0.2101,0.211,0.1926,0.1936,0.166,0.1955,0.2147,0.1906,0.217,0.2054,0.2071,0.1897,0.2044,0.2091,0.1807,0.2025,0.201,0.2158,0.2062,0.1917,0.1999,0.2019,0.06862,0.1542,0.2082,0.06772,0.1487,0.2127,0.1755,0.1887,0.1816,0.1552,0.1834,0.1533,0.2031,0.1296,0.1562,0.1736,0.1987,0.06682,0.1369,0.0594,0.1387,0.2119,0.1766,0.05845,0.1477,0.1573,0.1717,0.1746,0.000372,0.00166,0.001948,0.001361,0.000719,0.001048,0.002218,0.006215,0.00414,0.003452,0.002971,0.003213,0.003688,0.002477,0.006415,0.004993,0.002729,0.003915,0.004786,0.004578,0.005815,0.00721,0.006616,0.006813,0.005201,0.004362,0.005608,0.007011,0.01034,0.005403,0.01054,0.007818,0.006014,0.007615,0.007408,0.009922,0.01013,0.009705,0.008017,0.01072,0.008426,0.008221,0.0109,0.008846,0.01107,0.009061,0.009273,0.008637,0.01266,0.00949,0.000149,0.000015,0.000042,0.000416,0.000042,1422,-142.2,-143.6,0.000097,0.000008,0.000001,0.000097,0.02702,0.02828,0.02783,0.02801,0.02959,2.034,0.03547,0,2.123,2.179,0.03106,0.0287,2.054,-1.459,2.453,-1.458,2.017,2.05,0.03337,1657,16570,1656,0.03977,3.111,2.631,1.898,0.0422,0.4756,4.742,1.956,1.239,1.365,1.292,3.534,3.674,1.247,43.43,1.869,4.106,0.03551,0,1.124,3.403,1.894,1.632,-1.331,4.18,1.768,1.796,-1.314,0.177,4.201,1.409,16.18,1.458,1.58,1.024,1.434,1.565,1.591,0.00019,-0.000001,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
